matchday,game_n,group,knockout,date,time_est,TV,stadium,home,away,home_score,away_score,winner,loser,draw,home_penalty,away_penalty
group_1,1,A,FALSE,11/21/2022,11:00,FOX,Al Bayt Stadion,Qatar,Ecuador,,,,,,,
group_1,2,A,FALSE,11/21/2022,5:00,FOX,Al Thumama,Senegal,Netherlands,,,,,,,
group_1,3,B,FALSE,11/21/2022,8:00,FS1,Khalifa International,England,Iran,,,,,,,
group_1,4,B,FALSE,11/21/2022,14:00,FOX,Ahmad Bin Ali,United States,Wales,,,,,,,
group_1,5,D,FALSE,11/22/2022,14:00,FOX,Al Janoub,France,Australia,,,,,,,
group_1,6,D,FALSE,11/22/2022,8:00,FS1,Education City,Denmark,Tunisia,,,,,,,
group_1,7,C,FALSE,11/22/2022,11:00,FOX,Stadion 974,Mexico,Poland,,,,,,,
group_1,8,C,FALSE,11/22/2022,5:00,FS1,Lusail,Argentina,Saudi Arabia,,,,,,,
group_1,9,F,FALSE,11/23/2022,14:00,FOX,Ahmad Bin Ali,Belgium,Canada,,,,,,,
group_1,10,E,FALSE,11/23/2022,11:00,FOX,Al Thumama,Spain,Costa Rica,,,,,,,
group_1,11,E,FALSE,11/23/2022,8:00,FS1,Khalifa International,Germany,Japan,,,,,,,
group_1,12,F,FALSE,11/23/2022,5:00,FS1,Al Bayt Stadion,Morocco,Croatia,,,,,,,
group_1,13,G,FALSE,11/24/2022,5:00,FS1,Al Janoub,Switzerland,Cameroon,,,,,,,
group_1,14,H,FALSE,11/24/2022,8:00,FS1,Education City,Uruguay,South Korea,,,,,,,
group_1,15,H,FALSE,11/24/2022,11:00,FOX,Stadion 974,Portugal,Ghana,,,,,,,
group_1,16,G,FALSE,11/24/2022,14:00,FOX,Lusail,Brazil,Serbia,,,,,,,
group_2,17,B,FALSE,11/25/2022,5:00,FS1,Ahmad Bin Ali,Wales,Iran,,,,,,,
group_2,18,A,FALSE,11/25/2022,8:00,FS1,Al Thumama,Qatar,Senegal,,,,,,,
group_2,19,A,FALSE,11/25/2022,11:00,FOX,Khalifa International,Netherlands,Ecuador,,,,,,,
group_2,20,B,FALSE,11/25/2022,14:00,FOX,Al Bayt Stadion,England,United States,,,,,,,
group_2,21,D,FALSE,11/26/2022,5:00,FS1,Al Janoub,Tunisia,Australia,,,,,,,
group_2,22,C,FALSE,11/26/2022,8:00,FS1,Education City,Poland,Saudi Arabia,,,,,,,
group_2,23,D,FALSE,11/26/2022,11:00,FS1,Stadion 974,France,Denmark,,,,,,,
group_2,24,C,FALSE,11/26/2022,14:00,FS1,Lusail,Argentina,Mexico,,,,,,,
group_2,25,E,FALSE,11/27/2022,5:00,FS1,Ahmad Bin Ali,Japan,Costa Rica,,,,,,,
group_2,26,F,FALSE,11/27/2022,8:00,FS1,Al Thumama,Belgium,Morocco,,,,,,,
group_2,27,F,FALSE,11/27/2022,11:00,FS1,Khalifa International,Croatia,Canada,,,,,,,
group_2,28,E,FALSE,11/27/2022,14:00,FS1,Al Bayt Stadion,Spain,Germany,,,,,,,
group_2,29,G,FALSE,11/28/2022,5:00,FS1,Al Janoub,Cameroon,Serbia,,,,,,,
group_2,30,H,FALSE,11/28/2022,8:00,FS1,Education City,South Korea,Ghana,,,,,,,
group_2,31,G,FALSE,11/28/2022,11:00,FOX,Stadion 974,Brazil,Switzerland,,,,,,,
group_2,32,H,FALSE,11/28/2022,14:00,FOX,Lusail,Portugal,Uruguay,,,,,,,
group_3,33,B,FALSE,11/29/2022,14:00,FS1,Ahmad Bin Ali,Wales,England,,,,,,,
group_3,34,B,FALSE,11/29/2022,14:00,FOX,Al Thumama,Iran,United States,,,,,,,
group_3,35,A,FALSE,11/29/2022,10:00,FS1,Khalifa International,Ecuador,Senegal,,,,,,,
group_3,36,A,FALSE,11/29/2022,10:00,FOX,Al Bayt Stadion,Netherlands,Qatar,,,,,,,
group_3,37,D,FALSE,11/30/2022,10:00,FS1,Al Janoub,Australia,Denmark,,,,,,,
group_3,38,D,FALSE,11/30/2022,10:00,FOX,Education City,Tunisia,France,,,,,,,
group_3,39,C,FALSE,11/30/2022,14:00,FOX,Stadion 974,Poland,Argentina,,,,,,,
group_3,40,C,FALSE,11/30/2022,14:00,FS1,Lusail,Saudi Arabia,Mexico,,,,,,,
group_3,41,F,FALSE,12/1/2022,10:00,FOX,Ahmad Bin Ali,Croatia,Belgium,,,,,,,
group_3,42,F,FALSE,12/1/2022,10:00,FS1,Al Thumama,Canada,Morocco,,,,,,,
group_3,43,E,FALSE,12/1/2022,14:00,FOX,Khalifa International,Japan,Spain,,,,,,,
group_3,44,E,FALSE,12/1/2022,14:00,FS1,Al Bayt Stadion,Costa Rica,Germany,,,,,,,
group_3,45,H,FALSE,12/2/2022,10:00,FS1,Al Janoub,Ghana,Uruguay,,,,,,,
group_3,46,H,FALSE,12/2/2022,10:00,FOX,Education City,South Korea,Portugal,,,,,,,
group_3,47,G,FALSE,12/2/2022,14:00,FS1,Stadion 974,Serbia,Switzerland,,,,,,,
group_3,48,G,FALSE,12/2/2022,14:00,FOX,Lusail,Cameroon,Brazil,,,,,,,
knockout_1,49,eighth,TRUE,12/3/2022,10:00,FOX,Khalifa International,1A,2B,,,,,,,
knockout_1,50,eighth,TRUE,12/3/2022,14:00,FOX,Ahmad Bin Ali,1C,2D,,,,,,,
knockout_1,51,eighth,TRUE,12/4/2022,14:00,FS1,Al Bayt Stadion,1B,2A,,,,,,,
knockout_1,52,eighth,TRUE,12/4/2022,10:00,FS1,Al Thumama,1D,2C,,,,,,,
knockout_1,53,eighth,TRUE,12/5/2022,10:00,FOX,Al Janoub,1E,2F,,,,,,,
knockout_1,54,eighth,TRUE,12/5/2022,14:00,FOX,Stadion 974,1G,2H,,,,,,,
knockout_1,55,eighth,TRUE,12/6/2022,10:00,FOX,Education City,1F,2E,,,,,,,
knockout_1,56,eighth,TRUE,12/6/2022,14:00,FOX,Lusail,1H,2G,,,,,,,
quarters,57,quarter,TRUE,12/9/2022,14:00,FOX,Lusail,W49,W50,,,,,,,
quarters,58,quarter,TRUE,12/9/2022,10:00,FOX,Education City,W53,W54,,,,,,,
quarters,59,quarter,TRUE,12/10/2022,14:00,FOX,Al Bayt Stadion,W51,W52,,,,,,,
quarters,60,quarter,TRUE,12/10/2022,10:00,FOX,Al Thumama,W55,W56,,,,,,,
semis,61,semi,TRUE,12/13/2022,14:00,FOX,Lusail,W57,W58,,,,,,,
semis,62,semi,TRUE,12/14/2022,14:00,FOX,Al Bayt Stadion,W59,W60,,,,,,,
final,63,3rd place,TRUE,12/17/2022,10:00,FOX,Khalifa International,L61,L62,,,,,,,
final,64,final,TRUE,12/18/2022,10:00,FOX,Lusail,W61,W62,,,,,,,
