Country,Elo,group
Qatar,1663,A
Senegal,1737,A
England,1938,B
United States,1820,B
France,2027,D
Denmark,1961,D
Mexico,1823,C
Argentina,2139,C
Belgium,2034,F
Spain,2052,E
Germany,1988,E
Morocco,1739,F
Switzerland,1887,G
Uruguay,1941,H
Portugal,1999,H
Brazil,2166,G
Wales,1822,B
Netherlands,2003,A
Tunisia,1687,D
Poland,1804,C
Japan,1765,E
Croatia,1877,F
Cameroon,1635,G
South Korea,1805,H
Iran,1807,B
Ecuador,1847,A
Australia,1703,D
Saudi Arabia,1621,C
Canada,1769,F
Costa Rica,1727,E
Ghana,1539,H
Serbia,1841,G
